,label,stemmed_narasi_model,stemmed_judul_model
47,1,tv luar negeri sudah berita prabowo the next presiden,tv luar negeri sudah berita prabowo the next presiden
48,1,aneh jelang hari milu koq bisa ketua kpu umroh bareng jokowi padahal banyak masalah di kpu saat ini utama di kpln bukankah ini langgar,ketua kpu umroh bareng jokowi
49,1,jalan naik kereta yuk hayo jalan tiket ka promo,tiket promo kereta api hut bumn
50,1,simulasi orang gila di bawa ke tps saat milu nantipertama jadi di dunia,simulasi orang gila di bawa ke tps saat milu nanti
51,1,tabe siapa tahu ada keluargata yang guru sma ini ada info,broadcast whatsapp info test seleksi gttptt
52,1,info buat alumni harap hindar posko di monas posko milik puan maharani yang tuju ke istiqlal sebar agar jamaah yang lain tau,puan maharani buka posko logistik di reuni
53,1,jadwal hercules malam ini jam dan subuh besok di lanud makassar,terbang pesawat hercules gratis ke palu untuk keluarga korban gempa dan tsunami
54,1,capt pribadi adalah kemudi pesawat yang mengijinkan hj neno warisman sang dedengkot gera makar untuk guna sistem keras suara pesawat beberapa waktu lalu,capt pribadi adalah kemudi pesawat yang mengijinkan hj neno warisman
55,0,kendati sukses antar timnas indonesia juara piala aff dan lolos ke putar final piala asia,coach indra sjafri saya pernah tahun tak gaji tapi ikhlas
56,1,ini alquran palsu karang orang kafir,dua alquran yang klaim bagai alquran palsu kembali edar
57,1,ane sebarin deh video nih lihat yelyel kecebong yang rencana untuk susup di cfd untuk hancur hastag cc putrie riau dan allah sebaikbaik balas tipu daya,yelyel kecebong yang rencana untuk susup di cfd
58,0,innalillah hanya karena lalai terobos razia mobil isi satu keluarga tembak polisi satu orang tewas,kronologis polisi berondong sedan terobos razia di lubuklinggau
59,0,bukan dosen asing tapi profesor kelas dunia orang indonesia pun bisa ikut program ini asal dia ajar di universitas di luar negeri dan punya koneksi dengan raih nobel kata direktur jenderal sumber daya iptek dan dikti kemristekdikti ali ghufron mukti di jakarta selasa,kemristekdikti bukan undang dosen asing tapi profesor kelas dunia
60,1,kecam nyata said aqil neno warisman kami para ibu tidak terima nyata kontroversial ketua pbnu said aqil siradj yang kata tonton film porno lebih baik daripada dengar ceramah radikal karena sambil istighfar dapat kecam dari giat didik anak neno warisman dia tulis marah dalam tulis ikut ini,kecam nyata said aqil neno warisman kami para ibu tidak terima
61,1,padahal nama sebut rupa hasil translate otomatis google dari game asli yang judul galaxy fighting god of kung fu,rang allah of kung fu
62,1,assalamualaikum ini ada informasi dari teman dokter anak bidan di banyumas makan permen susu terus hari enggak mau makan ngefly saran teman dokter di purbalingga untuk bawa permen sebut ke bnn nyata hasil positif kandung narkoba jenis benzodiazepin,permen susu kandung narkoba
63,1,gue menang telak,konser anies sandi no menang telak
64,1,edar poster aksi damai bela islam jadi viral di media sosial sebab di dalam poster sebut dapat nama dan foto panglima tni jenderal gatot nurmantyo,poster aksi damai bela islam yang cantum nama dan foto gatot nurmantyo
65,0,umum penting soal pilkada dki pilih wajib ambil surat on feb dengan urus rt apabila sampai feb surat tidak ambil langsung milik rt akan kembali ke kpu warga dki yang tidak milik hanya bisa pilih jam saja bawa ektp suket kk asli jika lewat dari pakai suara anda hangus tlg sebar thank you,surat bagai syarat beri hak pilih pada pilkada dki jakarta
66,1,tni umum waras kecuali wereng coklatkenapa begitu ya masa sih sejarah buruk harus ulang kembali seram banget danjen kopassus fpi itu ormas besar dan suka bantu berantas kemahsiatan yang harus bubar ormas preman yang suka beking kemahsiatan dan suka bikin resah masyarakat,nyata danjen kopassus dukung fpi
67,1,hati hati dan harus teliti terima segala bentuk bantu korban gempa kami dapat gambar salib di handuk bantu yang di edar,gambar salib pada barang bantu bencana
68,1,sebar gambar dua piagam yang nyata jika aksi dapat harga dari rekor dunia,aksi dapat harga rekor dunia
69,1,demo neo pki hari ini sudah dapat ijin dari buntel kentut maaf ralat dari petinggi polisi tinggal tunggu gendering perang tabuh saja,foto petinggi polisi izin demo neo pki
70,1,mana ria saya pancasila mu oleh dr abdul muti med sekum pp muhamadyah,tulis mana ria saya pancasila mu oleh dr abdul muti med
71,1,bila tibatiba andapanjenengan jebak dalam operasi rapid tes dadakanujug ujug datang tugas yang harus ikut rapid tes maka perlu perhati sarung tangan petugs kalau sarung tangan yang pakai hanya ituitu saja satu yang pakai tanpa ganti ganti mana telah tugas itu pegang orangoasien yang rapid tes kemudian tanpa ganti sarung tangan tugas lalu pegang andapanjenengan maka sin letak rawan tular virus nya karena kita enggak tau dan tugas pun enggak tau apakah orang yang pegang belum kita tadi orang sebut positifreaktif atau negatif jadi tular bukan karena kita ada tempat umum saja akan tetapi saat rapid tes laku massal,tugas rapid test jarang ganti sarung tangan bisa tular covid dari pasien belum
72,1,ini nih dokter bule juga omong rupa bahkan asih data lebih lengkap detail inti covid itu biasa saja enggak mati bisa sembuh sendiri mereka juga kata kalau banyak yang tinggal karena sakit lain tapi masuk ke daftar covid ira di sih saja yang begitu lockdown psbb justru timbul dampak yang sangat jauh lebih buruk banding covid,video dokter bule
73,1,kabar gembira dan istimewa vietnam korban covid tidak ada yang matiberita super obat virus covid sudah capai informasi dari negara vietnam virus covid tidak sebab mati nyata resep sangat sederhana tapi sangat ampuh hanya teh lemonminumlah teh panas telah di campur peras lemondapat segera bunuh virus covid dan dapat sepenuh hilang virus covid dari tubuh bahan ini buat sistem kebal tubuh jadi sifat basa karena ketika malam tiba sistem tubuh jadi asam mampu detensif juga akan kurang itu sebab orang vietnam santai saja dengan sebar virus covid di vietnam rata semua orang minum gelas air panas dengan sedikit lemon di malam hari karena telah bukti bunuh virus covid cara total bagi resep sakti ini kepada siapa untuk buru pahala resep sederhana ini sangat efektif karena tidak akan infeksi virus covid atas izin tuhan ymeselamat coba,vietnam tidak ada korban tinggal covid karena teh dan lemon
74,1,ratus warga china yang tetap di indonesia tadi pagi tinggal indonesia tuju singapura karena situasi virus corona yang serang indonesia mereka akan kembali lagi jika situasi di indonesia kembali normal,ratus warga china yang tetap di indonesia tuju singapura karena virus corona
75,1,dua orang infeksi virus corona di parepare waspada ki semua tidak main main ini,dua orang infeksi virus corona di parepare
76,1,jangan pernah remeh the simpsons the simpsons corona virus dari china,the simpsons prediksi corona virus dari china
77,1,azab yang sangat pedih timpa orang warga negara amerika karena merobekrobek dan bakar alquran dia kena sakit yang sangat misteri semua jari di dua tangan lepuh busuk dan hitam selain itu pada luka sebut juga timbul aroma yang tak sedap,telah bakar alquran jari tangan pria ini hitam dan busuk keluar bau jijik
78,1,manajer humas pt inalum bambang heru prayoga informasi selain dari yang kami sebut ini maka hal itu pasti hoaks atau tipu kami harap tidak ada masyarakat yang kena tipu rekrutmen atas nama inalum,marak lowong kerja mengatasnamakan usaha pt inalum minta masyarakat waspada
79,1,ingin tahu bagaimana sehat jantung anda tes sederhana ini deteksi berapa sehat jantung kita jaga jantung agar tetap fungsi dengan baik sangat penting untuk hidup sehat jangka panjang,cara cepat cek jantung dengan air dan es batu
80,1,coba dilhat baik yang leceh bendara indonesia yang mana tapi nyata yang sekarang di tahan di polda metro yang pegang bendara merah putih di tangan mohon yang punya kuat hukum advokat acara atau apa saja minta tolong didampingin anak stm ini kasihan tidak ada yang bela,presiden jokowi leceh bendera merah putih
81,1,viral indonesia bubar ini video merry riana yang asli tonton sampai habis,sunting video merry riana indonesia bubar
82,1,video ada akhir jayapura mau ke bandara saja sampai hari dan kawal marinir evakuasi semua yang bau jawa hancur,semua yang bau jawa di jayapura hancur
83,0,yusuf ridwan kata kantong plastik kresek warna hitam kandung zat karsinogen dan zat warna yang bisa campur dengan daging akibat kontaminasi zat ini dapat sebab kanker dalam waktu lamayusuf ridwan kata kantong plastik kresek warna hitam kandung zat karsinogen dan zat warna yang bisa campur dengan daging akibat kontaminasi zat ini dapat sebab kanker dalam waktu lama,bahaya daging kurban bungkus kresek hitam
84,1,innalilahiwainalrajiun telah mati orang bantai rakyat hendroprayono singaporejgn ucap meninggalkarna dia bantai manusia,am hendropriyono tinggal di singapura
85,0,truk semi kontainer paslon ini kirakira bawa apa,jelas kait video truk kontainer gambar jokowimaruf amin
86,1,info bahaya semutkutu jepang untuk diabetes ada sahabat saya ibu di magelang idap diabetes kmd dia konsumsi semutkutu jepang yang kata bisa obat diabetes mungkin benar karena semut itu keluar insulin tapi hanya dalam waktu satu tahun konsumsi semutkutu jepang itu nyata usus kena bakteri dan rusak sehingga harus potong usus,bahaya semutkutu jepang untuk diabetes
87,1,cnn indonesia sertifikat ganda kerja rezim jokowi november,cnn indonesia buat berita judul sertifikat ganda kerja rezim jokowi
88,1,aduh pak bukan lemah pak jokowi itu anda yang enggak mudeng justru itu yang bikin anda dan kampret makin lihat bodoh paham politik enggak sih pak,paham politik enggak sih pak
89,1,ah pokok apa kata prabowo laaah amin rais jangan nyinyir ya keh keh keh,judul berita prabowo aji tidak butuh dalam pimpin negara
90,0,kait salah satu dosen jadi insiator gera di kabupaten manggarai barat nusa tenggara timur ntt pihak universitas muhammadiyah kupang umk ban bahwa kampus libat dalam gera sebut,universitas muhammadiyah kupang bantah akan menginisasi gera
91,0,kami caleg partai gerindra dan pks tolak khilafah indonesia damai tolak khilafah di wilayah purwakarta baris muda muslim purwakarta,pks dan gerindra purwakarta bantah pasang spanduk yang nilai provokatif
92,1,menang songong kalah ngamuk,kalimantan barat panas
93,1,terima kasih bang romo syafii dan ketua kahmi telah bantu bebas ibu himma,sangka ujar benci dosen usu himma dewiyana bebas
94,1,bupati purwakarta yang kini jadi calon wakil gubernur jawa barat dedi mulyadi pernah ban informasi yang kata diri hamil siswi mts yang benar jadi kata dedi adalah ia jadi saksi nikah dari orang anak tokoh masyarakat sumedang yang tengah hamil dengan yang hamil,dedi mulyadi hamil siswi mts
95,1,mantan ketua umum jakmania larico ranggamone soal yang ramai medali bepe hilang tunjuk kepada yusuf ini itu medali palsu dapat dari tante dari pssi itu beda dari medali yang dapat tim persija,di tuduh curi medali milik bambang pamungkas muhammad yusuf buka suara
96,1,malam nanti jam pagi bulan akan keliling kabah dan langit akan warna biru muda ini saat terima doataubatmunajatini jadi tiap ribu tahun sekali hari ini di malam hari siapa pun yang doa akan terima bulan akan laku tawaaf di sekitar kabah tolong sampai ini kepada semua orang rabbi minkulli zambi waatubu illiahi jika kamu kirim doa ini ke teman allah akan selesai semua masalah tolong kirim ini ke tiap orang dekat kita sehingga mereka bisa tahu moga manfaat aamiin,malam nanti jam pagi bulan akan keliling kabah
97,1,daftar serta acara uji nyali masih dunia lain televisi trans buat para spookiers yang pengin ikut uji nyali langsung kirim data lalu email data yang perlu isi adalah nama umur alamat kerja motivasi ikut uji nyali no telp,daftar serta uji nyali masih dunia lain trans di pabrik mercon
98,1,kemenkominfo lalu badan regulasi telekomunikasi indonesia brti nyata telah terima lapor investigasi operator seluler kait duga sadap pada kartu sim buat gemalto hutchinson xl axiata indosat telkomsel oleh badan intelijen as national security agency nsa dan government communication headquarter gchq,kartu sim xl indosat smarfren dan telkomsel sadap badan intelijen as
99,1,rombong aniessandi tilang dan tak milik izin patwal di puncak bogor,rombong aniessandi tilang dan tak milik izin patwal di puncak bogor
100,1,bismillah hari ini team mualaf center darussalam wakil harsha agousta brahma sadewa dan ibu jenderal lisze dewi purnamawati berangkat ke lp batu nusakambangan cilacap pasti niat john kei masuk islam belum putus masuk islam john kei alias john refra pemuda asal tutrean pulau kei pernah di juluk bagai godfather of jakarta,foto john kei yang sudah sunting
101,0,buat teman yang ada kunjung ke jakarta sejak agustus sudah ada transportasi kereta api dari bandara soekarnohatta,operasional kereta bandara
102,0,tusuk gigi sebar hiv aids,tusuk gigi sebar hiv aids
103,1,laku bom kampung melayu adalah anggota polisi,laku bom kampung melayu adalah anggota polisi
104,1,pembubabaran aji ustad khalid basalamah oleh banser nu,pembubabaran aji ustad khalid basalamah oleh banser nu
105,1,foto helikoptertank pertama di dunia buat turki dan pakistan,foto helikoptertank pertama di dunia buat turki dan pakistan
106,1,siang tadi saya mampir di distributor es krim merk aice yang sedang marak penetrasi bisnis yang letak di selatan tugu lilin makam haji lihat banyak spanduk tulis china iseng saya tanya jaga counter yang depan pinggir jalan bos nya orang mana mbak jakarta atau solo jawab orang china lho kok tau kalau orang china apa sudah pernah ketemu tris dia nunjuk buah mobil avanza putih itu bos di dalam mobil itu omong saja pakai bahasa china dia asli datang dari china kata penasaran saya tunggu sih bos keluar dari mobil betul nyata chino,es krim merek aice bos orang cina dan bahan kimia semua
107,1,video yang tunjuk anak muslim yang siksa oleh budha di myanmar,video yang tunjuk anak muslim yang siksa oleh budha di myanmar
108,1,foto rusuh demo anti trump di amerika serikat,foto rusuh demo anti trump di amerika serikat
109,1,aksi demo yang tanpa tuju di depan gedung dprmpr yang di laku orang simpatisan pdip di komando oleh boedi djarot dkk yang menginjakinjak robek dan bakar poster habib rizieq syihab nyata buntut panjang di kota bandung jadi bentrok antara ormas gera jaga indonesia gjipdip dengan ormasormas islam fpi hti lpi bela dan jaga pancasila nkri dan ulama akibat orang anggota ormasa gera jaga indonesia pdip mati kena sabet pedang lasykar fpi dari pihak hti orang alami luka sabet di bahu bukan itu saja bentrok pun luas hingga jadi bakar beberapa toko yang dekat dengan markas pdip karena lempar bom molotov aparat polisi pun tidak berani ke tkp,bentrok antar ormas gera jaga indonesia dengan fpi lpi dan hti di kota bandung pada juli
110,1,celaka maut di air terjun uluk til belu ntt,video celaka maut di air terjun uluk til belu ntt
111,1,lebih jauh prijanto kata istilah tugas partai yang sampai ketua umum pdip megawati soekarnoputri kepada jokowi juga nilai modus komunisme sebab istilah tugas partai mirip dengan kerja partai yang pernah kata tokoh pki dn aidit,alir komunis gera pki bangkit lewat pdip
112,1,gubernur jakarta anies baswedan dapat harga baik di seluruh dunia dalam tangan covid,gubernur jakarta anies baswedan dapat harga baik di seluruh dunia dalam tangan covid
113,1,kabar baru dari new zealand subhanallah masyarakat new zealand pada ajar wudhu dan kumpul di lapang mereka mulai ajar dan dalam islam kalau allah sudah hendak semua bisa jadi allahu akbar sungguh allah maha bolak balik hati manusia,masyarakat new zealand ajar wudhu
114,1,kabar kini jumlah polisi india telah tiba di indonesia untuk tertib masyarakat yang tidak mau tinggal di rumahsiapkan pantat dan minyak gosok,jumlah polisi india telah tiba di indonesia
115,1,military vehicles arrived ini manhattannew york wuhan coronavirus,pasu tentara bantu lawan virus corona di new york
116,1,keluyur luar rumah di malaysia tembak api pakai drone,video keluyur luar rumah di malaysia tembak api pakai drone
117,1,antisipasi corona seluruh bumn dki tutup,antisipasi corona seluruh bumn dki tutup
118,1,manusia yang enggak punya nilai dan kuwalitas enggak pantas jadi apa di negeri ini,jokowi halal lengser
119,1,sandiwara dagel koplax di perskusi sendiridi viralkan sendiridi lapor sendiri minta maaf dan maaf sendiri sakit jiwa kali yang begini ya,sandiwara dagel koplax di perskusi sendiridi viralkan sendiridi lapor sendiri minta maaf dan maaf sendiri
120,1,kepala satpol pp dan damkar martin nandung gak jelas sumber dan tidak ada penanggungjawab ndak ada cap dan tanda tangan,edar surat rekrutmen satpol pp kepala satpol pp dan damkar sintang angkat bicara
121,1,ketua kpu imbau masyarakat hormat hasil milu walau banyak curang,ketua kpu imbau masyarakat hormat hasil milu walau banyak curang
122,1,hoaks mbak giat ajar normal giat kampus juga normal,universitas brawijaya dan umm bantah libur kuliah karena ada aksi mahasiswa
123,1,akhir gus ipul wakil gubernur jatim turun tangan selesai fitnah yang di tuduh kepada tum pbnu prof dr kh said aqil siroj moga para tukang fitnah tidak kejang,luthfi abdul had minta maaf kepada kiai said aqil siroj
124,1,asosiasi guru bahasa dan sastra indonesia kecam anies baswedan lihai tata kata untuk bodoh warga jakarta,asosiasi guru bahasa dan sastra indonesia kecam anies baswedan
125,1,khoirul anwar anggap gila tertawa bahkan cemooh ide anggap muskil tak masuk akal semua ilmuwan yang kumpul di hokkaido jepang itu anggap pikir yang presentasi itu tak guna,khoirul anwar temu lte
126,1,syukur jokowi tanpa kamera bawa bekal sendiri kompak salam jokowi,syukur jokowi
127,1,polisi tembak saksi yang tidak terima rekap pleno kpu,video polisi tembak saksi saat rekap pleno kpu
128,0,hari ini pasang baliho contoh surat suara pilpres oleh kpu di kec bontonompo kab gowa mana foto capres cawapres luar biasa kpu gowa kalian sudah cedera demokrasi,jelas kpu gowa kait baliho surat suara yang tidak cantum foto caprescawapres prabowosandi
129,1,info dari tun ini masuk saja tadi dari tun satu tunanetra indonesia yang di jkt ecek surat suara yang braile ke kpu nyata hampir salah semua,masuk satu tunanetra indonesia kait braile surat suara di jakarta salah semua
130,0,gambar atau foto yang tera pada kemas beras toko tani indonesia adalah bukan foto presiden ri bapak jokowi itu foto model staf tan di biro umum dan ada tan mas agus faizal kata kepala biro humas dan informasi publik tan kuntoro boga andri selasa,tan bantah siluet wajah yang ada bungkus plastik tulis beras segar dan toko tani indonesia ialah presiden jokowi
131,0,itu cara betul tidak hubung dengan imunisasi ini sakit sendiri bukan efek dari vaksin mr ujar,dinkes aceh ban atas isu ajar lumpuh telah vaksin mr
132,1,kpu harus punya server sendiri ini bawa itb moratel gimana milu ikut,hasil scanning port bolong
133,1,hubung dengan rekrutmen calon karyawan pada pt pindad untuk wilayah kerja liput region sulawesi,rekrutmen pt pindad
134,0,maradona bantah kabar diri tinggal usai laga argentina vs nigeria pada piala dunia,maradona bantah kabar diri tinggal usai laga argentina vs nigeria pada piala dunia
